asset_name,asset_category,description,model,serial_number,date_of_acquisition,age_at_time_of_acquisition,purchase_value,depreciation_percentage,lpo_number,dig_funder_name,project_name,acquisition_name,current_condition,date_of_disposal,comments
X-Ray Machine,Office Equipment,Digital Chest X-Ray machine,14IRH10,48151,9/22/2025,0.6,"13,911,620.38",20,PO-25-01509,LVCT Health,Stawisha,Purchase,Good,,Health Masters
X-Ray Machine,Office Equipment,Digital Chest X-Ray machine,14IRH10,48485,9/22/2025,0.6,"13,911,620.38",20,PO-25-01509,LVCT Health,Stawisha,Purchase,Good,,Health Masters
Generator,Office Equipment,Dayliff Power Generator,P50P2,1612000005,7/1/2021,4.83,"2,441,308.00",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
MIFI,Power Backups,TP Link M7200 4G LTE MiFi,M7200 4G,2233323000205,2/29/2024,2.17,"9,048.00",20,PO-24-00613,LVCT Health,Stawisha,Purchase,Good,,BRIGHT TECHNOLOGIES 
MIFI,Power Backups,TP Link M7200 4G LTE MiFi,M7200 4G,2233323000968,2/29/2024,2.17,"9,048.00",20,PO-24-00613,LVCT Health,Stawisha,Purchase,Good,,BRIGHT TECHNOLOGIES 
MIFI,Power Backups,TP Link M7200 4G LTE MiFi,M7200 4G,2233323000974,2/29/2024,2.17,"9,048.00",20,PO-24-00613,LVCT Health,Stawisha,Purchase,Good,,BRIGHT TECHNOLOGIES 
MIFI,Power Backups,TP Link M7200 4G LTE MiFi,CPH2531,2233323002351,2/29/2024,2.17,"9,048.00",20,PO-24-00613,LVCT Health,Stawisha,Purchase,Good,,BRIGHT TECHNOLOGIES 
MIFI,Power Backups,TP Link M7200 4G LTE MiFi,CPH2531,2233323002352,2/29/2024,2.17,"9,048.00",20,PO-24-00613,LVCT Health,Stawisha,Purchase,Good,,BRIGHT TECHNOLOGIES 
Microwave,Office Equipment,Von Microwave,SM-T225,6161106504893,8/17/2022,3.7,"10,995.00",20,N/A,LVCT Health,Stawisha,Purchase,Good,,NAIVAS SUPERMARKET
Fridge,Office Equipment,Ramtons Fridge,N/A,6162003202301,8/17/2022,3.7,"37,300.00",20,N/A,LVCT Health,Stawisha,Purchase,Good,,NAIVAS SUPERMARKET
