asset_name,asset_category,description,model,serial_number,date_of_acquisition,age_at_time_of_acquisition,purchase_value,depreciation_percentage,lpo_number,dig_funder_name,project_name,acquisition_name,current_condition,date_of_disposal,comments
Laptop,Laptop,HP Probook 430 G4,430 G4,5CD71608QM,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook,840 G4,5CD71608QQ,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,PROBOOK 430 G4,840 G4,5CD7126C4L,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Laptop,Laptop,ELITEBOOK,MFP M130FN,5CG8214LC1,2021-07-01,4.83," 105,522.00 ",20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Laptop,Laptop,ELITEBOOK,430 G4,5CG8214LGK,2021-07-01,4.83," 105,522.00 ",20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Printer,Printer,HP Laserjet Printer,430 G4,VNCPK01317,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,840 G4,5CD7126C2G,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP PROBOOK 430 G4,430 G4,5CD71608KW,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
Laptop,Laptop,HP ELITEBOOK 840 G4,430 G4,5OG8214LFD,2021-07-01,4.83," 105,522.00 ",20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,840 G4,5CD71608PO,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,PROBOOK 430 G4,840 G4,5CD71608FH,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Laptop,Laptop,ELITEBOOK,430 G4,5CG8151D55,2021-07-01,4.83," 105,522.00 ",20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Laptop,Laptop,ELITEBOOK,430 G4,5CG8070FF3,2021-07-01,4.83," 124,120.00 ",20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,M506,5CD71608FN,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,4500fn1,5CD71608FX,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Printer,Printer,HP Laserjet Printer,840 G4,JPCD500675,2021-07-01,4.83," 72,110.94 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Scanner,Scanner,HP Scanner,,CN634B602M,2021-07-01,4.83," 100,288.96 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP ELITEBOOK 840 G4,N/A,SCG8070FF3,2021-07-01,4.83," 105,552.00 ",20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
Cupboard,Office Equipment,2 DRAWER WOODEN SHELF,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Desk,Furniture & Fittings,L-Shaped office table,830 G2,N/A,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Desk,Furniture & Fittings,L-Shaped office table,430 G4,N/A,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 830 G2,430 G4,5CD6253LYR,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,840 G4,5CD71608QR,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,V90,5CD724BH37,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,ELITEBOOK,N/A,5CD8214LHV,2021-07-01,4.83," 105,522.00 ",20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
Monitor,Display Monitor,LENOVO MONITOR V90,N/A,V905P19R,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Office Chair,Furniture & Fittings,High back office chair with mesh and plastic base,N/A,N/A,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Office Chair,Furniture & Fittings,High back office chair with mesh and plastic base,4500 FNI,N/A,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Office Chair,Furniture & Fittings,High back office chair with mesh and plastic base,BV8001-MSX,N/A,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Scanner,Scanner,HP Scanner,,2789-15-5037,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
UPS,Power Backups,APC 800VA BACK UPS UNIVERSAL OUTLET,BV8001-MSX,9B21009A20951,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Monitor,Display Monitor,HP MONITOR V193,BV8001-MSX,3CQ5172NF8,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
UPS,Power Backups,APC 800VA BACK UPS UNIVERSAL OUTLET,430 G4,9B1938A17831,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
UPS,Power Backups,APC 800VA BACK UPS UNIVERSAL OUTLET,430 G4,9B1938A18207,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,N/A,5CD71608L9,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,N/A,5CG8070G62,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
cardboard ,Furniture & Fittings,Wooden Cupboard Shelf with glass slides,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
desk,Furniture & Fittings,3 Drawers office desk,N/A,N/A,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Desk,Furniture & Fittings,L-Shaped office table,N/A,N/A,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Desk,Furniture & Fittings,L-Shaped office table,N/A,N/A,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
desk,Furniture & Fittings,3 Drawers office desk,NA,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Desk,Furniture & Fittings,3 Drawers office desk,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
