facility_id,facility_name,mflcode,county_name,subcounty_name,owner,sdp,agency,emr,emrstatus,infrastructuretype,latitude,longitude,date_created,level_of_care_name
2540, South B Police Band,13444,Nairobi,Starehe,Ministry of Health,CIHEB CONNECT,CDC,,,On Premises,Not Found,Not Found,7/13/2025 5:15,
2658, Zimmerman Pickens Dispensary,28537,Nairobi,Roysambu,Ministry of Health,Fahari ya Jamii,DOS,KenyaEMR,Active,On Cloud,Not Found,Not Found,7/13/2025 5:15,
986,12 Engineers,17486,Kiambu,Thika Town,Ministry of Health,HJF-Nairobi,DOD,KenyaEMR,Active,On Premises,-1.07354,37.14413,7/13/2025 5:15,
2667,3KR Health Centre,14181,Nakuru,Nakuru East,Armed Forces,HJF-Nairobi,DOD,KenyaEMR,Active,On Premises,Not Found,Not Found,7/13/2025 5:15,
1739,4th Brigade,15166,Laikipia,Laikipia East,Armed Forces,HJF-Nairobi,DOD,KenyaEMR,Active,On Premises,Not Found,Not Found,7/13/2025 5:15,
100,A.C.K Butonge Dispensary,15837,Bungoma,Sirisia,Christian Health Association of Kenya,No Partner,No Agency,,,On Premises,Not Found,Not Found,7/13/2025 5:15,
2543,AAR Clinic Sarit Centre (Westlands),16796,Nairobi,Westlands,Private Enterprise (Institution),Fahari ya Jamii,DOS,KenyaEMR,Active,On Premises,-1.2617,36.80211,7/13/2025 5:15,
2603,AAR Gwh Health Care Ltd,19958,Nairobi,Kibra,Private Enterprise (Institution),Fahari ya Jamii,DOS,KenyaEMR,Active,On Cloud,-1.29467,36.80897,7/13/2025 5:15,
1002,AAR Health Care Ruaka,21981,Kiambu,Kiambaa,Private Practice - General Practitioner,No Partner,No Agency,,,On Premises,Not Found,Not Found,7/13/2025 5:15,
1490,AAR Health Care-Kisumu,20956,Kisumu,Kisumu Central,Private Practice - General Practitioner,Nuru Ya Mtoto,DOS,KenyaEMR,Active,On Premises,-0.10465,34.75328,7/13/2025 5:15,
2668,AAR Nakuru Clinic,14183,Nakuru,Nakuru West,Non-Governmental Organizations,No Partner,No Agency,,,On Premises,-0.23285,36.04388,7/13/2025 5:15,
3166,Abidha Health Centre,13461,Siaya,Rarieda,Ministry of Health,CHS Shinda Tena,CDC,KenyaEMR,Active,On Cloud,-0.15902,34.41064,7/13/2025 5:15,
