,,,,,,,,"Baseline Assessment Tool for HIV Prevention, PMTCT, HIV/TB & MNCH Service Transition _ DoS TWGs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Integration of HIV Prevention, HIV/TB,  PMTCT  & MNCH Services and EMR Use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Cutting Areas,,,
Section 1: Facility Profile,,,,,,,,Section 2a: Integration of HIV/TB Services,,,,,"Section 2b: Integration of Other Services - PMTCT in MCNH & HIV Prevention in OPD, IPD & MCNH",,,,,,,Section 2c: EMR Integration,,,,,,,,,,,,,,,,,,,,Section 3: HRH Transition (Workforce Absorption),,,,,,,,,,,,Section 4: PLHIV &  PBFW Enrollment into SHA,,,,,,Section 5: County Led Technical Assistance / Mentorship,,,Section 6: Financing and Sustainability,,,Section 7: Mortality outcomes (Sustainability of quality of care),,,,,,Section 10a: Simplification of Donor Reporting,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,31,32,33,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total number of HCWs supported by PEPFAR IP in the health facility,,,,,,"Total Number of HCWs supported by PEPFAR IP transitioned to County support (Payroll)

(Note: The HCW tranistion to County support refers to those HCWs who were previously supported by PEPFAR IP and were absorped or tranisitioned to County payroll regardless of the roles they are undertaking at the facility or County.  For more details, refer to in the instruction tab).",,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Name ,MFL Code,Implementing Partner,County,Sub County,KEPH Level,Is the health facility supported by US DoS IP?,Is the health facility an ART site ?,Has the health facility integrated HIV/TB services within OPD or Chronic care model?,If yes specify the type of integration model,TX_CURR (As at the last month of reporting),TX_CURR (PMTCT ) As at the last month of reporting,Total number of PLHIVs receiving HIV/TB care through integrated service models,Has the health facility integrated PMTCT services in MNCH?,Has the health facility integrated HTS services  in OPD?,Has the health facility integrated HTS services  in IPD?,Has the health facility integrated HTS services  in MNCH?,Has the health facility integrated PrEP services  in OPD?,Has the health facility integrated PrEP services  in IPD?,Has the health facility integrated PrEP services  in MNCH?,Does this health facility use any  EMR system?,Health facility has a single unified EMR system?,EMR system in use at the OPD?,"Other EMR system, Please Specify",EMR system in use at IPD?,"Other EMR system, Please Specify",EMR system in use at MNCH?,"Other EMR system, Please Specify",EMR system in use at CCC?,"Other EMR system, Please Specify",EMR system in use at PMTCT?,"Other EMR system, Please Specify",EMR system in use at Lab?,"Other EMR system, Please Specify",Lab Manifest is in use at the Health Facility?,Tibu Lite (LIMS) is in use at the Health Facility?,EMR system in use at Pharmacy?,"Other EMR system, Please Specify",Pharmacy WebADT in use at the Health Facility?,"Is the EMR system in use for documenting HIV services interoperable with other HIS systems (e.g. National EID Website, Web ADT and Lab system)?",Total HCWs Supported by PEPFAR IP,"Clinical Staff (includes Doctors, Clinical Officers, Nurses, Lab techologists /Technicians, Pharmaceutical Technologists/ Pharmacists/etc.)","Non Clinical Staff (includes HTS Providers, HTS counsellors, Public Health Officers, Nutrition Officers/ Nutritionists etc.)","Data Staff (includes e.g., HRIOs, HRITs, Data Clerks etc.)","Community based Staff (includes , Adherence consellors, link desks, Peer Educators, Mentor Mothers, Mentor Fathers, Adolescent Champions etc.)",Other (refers to any other cadre(s) not included in the 4 categories),Number of HCWs supported by PEPFAR IP transitioned to County support (Payroll) between Oct 25 - Dec 25,"Clinical Staff (includes Doctors, Clinical Officers, Nurses, Lab techologists /Technicians, Pharmaceutical Technologists/ Pharmacists etc.)","Non Clinical Staff (includes HTS Providers, HTS counsellors, Public Health Officers, Nutrition Officers/ Nutritionists etc.)","Data Staff (includes e.g., HRIOs, HRITs, Data Clerks etc.)","Community based Staff (includes  Adherence consellors, link desks, Peer Educators, Mentor Mothers, Mentor Fathers, Adolescent Champions etc.)",Other (refers to any other cadre(s) not included in the 4 categories),Total number of PLHIVs enrolled into SHA,Number of PLHIVs enrolled into SHA with premium fully paid,Number of PBFW enrolled into SHA ,Number of PBFW enrolled into SHA with premium fully paid,Has the health facility been submitting SHA claims on time? ,In the last 3 months has the health facility consistently received SHA reimbursements on a monthly basis?,"How many TA/Mentorship visits on HIV Prevention, HIV/TB services, and PMTCT services were done at the facility in the last 3 months?
","Of the total TA/ Mentorships visits, how many were done by the MOH only (County / Sub-County teams alone without IP staff)?","If there were visits done by the MOH team only indicated by a number in column 60, were the site -level gaps from the overall TA/Mentorship sessions done for HIV Prevention, HIV/TB services, and PMTCT acted upon through the C/Sub-County systems? (hint: beyond facility level gaps)",Does the health facility have FIF collection mechanism in place?,"Has the FIF collection incorporated HIV Prevention, HIV/TB  PMTCT & MNCH services?","Is the health facility receiving  SHA capitation for HIV Prevention, HIV/TB  PMTCT & MNCH services?",Total Number of deaths from any cause (All-cause Mortality) in the quarter (Oct  25 - Dec 25),Number of HIV related deaths in the quarter (Oct  25 - Dec 25),Number of HIV related deaths reported before linkage to ART (due to late identification) in the quarter (Oct  25 - Dec 25),Number of TB deaths in the quarter (Oct  25 - Dec 25),Number of Maternal deathsin the quarter (Oct  25 - Dec 25),Number of Perinatal deaths (stillbirths and early neonatal deaths <7 days) in the quarter (Oct  25 - Dec 25),,,,
Barani Dispensary,29476,Stawisha Pwani,Kilifi,Kilifi South,Level II,Yes,Yes,Yes,OPD,33,7,33,Yes,Yes,Not Applicable,Yes,No,Not Applicable,Yes,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   ,, -   , -   , -   , -   ,,12, -   ,Yes,Yes, -   , -   ,,No,Not Applicable,No,2,1, -   , -   , -   ,1,,,,
Chibarani Dispensary,28424,Stawisha Pwani,Kilifi,Rabai,Level II,Yes,Yes,Yes,OPD,4, -   ,4,Not Applicable,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   ,,,,, -   , -   ,5, -   ,Yes,Yes,1, -   ,,No,No,No, -   , -   , -   , -   , -   , -   ,,,,
Mbudzi Community Health Centre,25626,Stawisha Pwani,Kilifi,Ganze,Level II,Yes,Yes,Yes,OPD,32,4,32,Yes,Yes,Not Applicable,Yes,No,Not Applicable,Not Applicable,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3, -   ,Yes,Yes,2, -   ,,No,Not Applicable,Yes,2,2, -   , -   , -   , -   ,,,,
